Restaurant,Dish,Price (MMK),Currency
999 Shan Noodle Shop,Shan Noodles,3000,Ks
999 Shan Noodle Shop,Fish Soup,3500,Ks
999 Shan Noodle Shop,Pork Ribs,5000,Ks
999 Shan Noodle Shop,Fried Tofu,2500,Ks
999 Shan Noodle Shop,Spring Rolls,3000,Ks
999 Shan Noodle Shop,Sticky Rice with Pork,4000,Ks
999 Shan Noodle Shop,Shan Tofu Salad,3200,Ks
999 Shan Noodle Shop,Chicken Curry,4500,Ks
999 Shan Noodle Shop,Dumplings,3800,Ks
999 Shan Noodle Shop,Spicy Fish Salad,3700,Ks
999 Shan Noodle Shop,Vegetable Tempura,2800,Ks
999 Shan Noodle Shop,Eggplant Salad,3300,Ks
999 Shan Noodle Shop,Shan Rice Cake,2900,Ks
999 Shan Noodle Shop,Ginger Salad,3100,Ks
999 Shan Noodle Shop,Pork Belly,5200,Ks
999 Shan Noodle Shop,Steamed Fish,4800,Ks
999 Shan Noodle Shop,Noodle Soup with Pork,3400,Ks
Le Planteur Restaurant & Lounge,Foie Gras,25000,Ks
Le Planteur Restaurant & Lounge,Lobster Thermidor,40000,Ks
Le Planteur Restaurant & Lounge,Wagyu Steak,45000,Ks
Le Planteur Restaurant & Lounge,Duck Breast,30000,Ks
Le Planteur Restaurant & Lounge,Lamb Chops,35000,Ks
Le Planteur Restaurant & Lounge,Seafood Platter,50000,Ks
Le Planteur Restaurant & Lounge,Crab Cakes,20000,Ks
Le Planteur Restaurant & Lounge,Salmon Tartare,22000,Ks
Le Planteur Restaurant & Lounge,Prawn Cocktail,18000,Ks
Le Planteur Restaurant & Lounge,Beef Carpaccio,28000,Ks
Le Planteur Restaurant & Lounge,Mushroom Risotto,24000,Ks
Le Planteur Restaurant & Lounge,Truffle Pasta,32000,Ks
Le Planteur Restaurant & Lounge,Tuna Sashimi,26000,Ks
Le Planteur Restaurant & Lounge,Chicken Cordon Bleu,27000,Ks
Le Planteur Restaurant & Lounge,Veal Milanese,34000,Ks
Le Planteur Restaurant & Lounge,Quail Eggs,16000,Ks
Le Planteur Restaurant & Lounge,Escargot,19000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Mohinga,2500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Grilled River Fish,10000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Burmese Curry,8000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Chicken Biryani,7500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Beef Stew,9000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Fried Rice,5000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Tom Yum Soup,6000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Pork Curry,7000,Ks
Mandalay Restaurant at Mandalay Hill Resort,Fish Cake,4500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Prawn Skewers,8500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Green Papaya Salad,3500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Sweet and Sour Chicken,7800,Ks
Mandalay Restaurant at Mandalay Hill Resort,BBQ Pork,8200,Ks
Mandalay Restaurant at Mandalay Hill Resort,Stir-Fried Vegetables,5500,Ks
Mandalay Restaurant at Mandalay Hill Resort,Banana Blossom Salad,4200,Ks
Mandalay Restaurant at Mandalay Hill Resort,Crab Soup,6800,Ks
Mandalay Restaurant at Mandalay Hill Resort,Mango Sticky Rice,4000,Ks
